timestamp, decisao, erro
1770323641.912202,Em frente,4.5
1770323641.97809,Em frente,5.0
1770323642.040918,Em frente,5.5
1770323642.085868,Em frente,5.5
1770323642.130935,Em frente,5.5
1770323642.2013745,Em frente,6.0
1770323642.2482524,Em frente,6.5
1770323642.2918892,Em frente,7.5
1770323642.338662,Em frente,8.0
1770323642.4055765,Em frente,8.0
1770323642.452246,Curva a Direita,9.0
1770323642.496833,Curva a Direita,10.0
1770323642.545198,Curva a Direita,10.5
1770323642.5916066,Curva a Direita,11.5
1770323642.6403987,Curva a Direita,12.0
1770323642.7095938,Curva a Direita,12.0
1770323642.7552302,Curva a Direita,12.5
1770323642.8051226,Curva a Direita,13.5
1770323642.8456602,Curva a Direita,14.5
1770323642.9213307,Curva a Direita,15.0
1770323642.9844851,Curva a Direita,16.0
1770323643.045643,Curva a Direita,16.5
1770323643.1130095,Curva a Direita,17.5
1770323643.1747296,Curva a Direita,18.5
1770323643.240878,Curva a Direita,19.5
1770323643.326283,Curva a Direita,20.5
1770323643.3782926,Curva a Direita,21.5
1770323643.435782,Curva a Direita,22.0
1770323643.4821851,Curva a Direita,22.0
1770323643.529931,Curva a Direita,23.0
1770323643.594033,Curva a Direita,22.5
1770323643.639553,Curva a Direita,22.0
1770323643.7151792,Curva a Direita,22.0
1770323643.7815819,Curva a Direita,22.5
1770323643.8452754,Curva a Direita,22.5
1770323643.922356,Curva a Direita,22.5
1770323643.9905577,Curva a Direita,22.0
1770323644.0391603,Curva a Direita,22.5
1770323644.1092603,Curva a Direita,22.0
1770323644.1956205,Curva a Direita,22.0
1770323644.2475104,Curva a Direita,22.0
1770323644.3053055,Curva a Direita,22.0
1770323644.3742416,Curva a Direita,21.0
1770323644.41802,Curva a Direita,21.0
1770323644.4931562,Curva a Direita,19.0
1770323644.5360546,Curva a Direita,18.5
1770323644.5836313,Curva a Direita,18.0
1770323644.6361098,Curva a Direita,16.5
1770323644.6945531,Curva a Direita,16.0
1770323644.7470212,Curva a Direita,15.5
1770323644.8247993,Curva a Direita,15.5
1770323644.8770666,Curva a Direita,15.5
1770323644.9256916,Curva a Direita,15.0
1770323644.9681866,Curva a Direita,14.5
1770323645.0436165,Curva a Direita,15.5
1770323645.0868022,Curva a Direita,14.5
1770323645.1356661,Curva a Direita,14.5
1770323645.1872048,Curva a Direita,15.0
1770323645.2365694,Curva a Direita,15.0
1770323645.3071935,Curva a Direita,15.0
1770323645.3552155,Curva a Direita,14.5
1770323645.4217572,Curva a Direita,14.5
1770323645.471878,Curva a Direita,14.0
1770323645.522122,Curva a Direita,14.0
1770323645.5742424,Curva a Direita,13.5
1770323645.6215231,Curva a Direita,14.0
1770323645.6712174,Curva a Direita,13.5
1770323645.7216527,Curva a Direita,13.5
1770323645.771212,Curva a Direita,13.0
1770323645.8460934,Curva a Direita,13.5
1770323645.8969133,Curva a Direita,13.5
1770323645.9553363,Curva a Direita,13.0
1770323645.99953,Curva a Direita,13.5
1770323646.0465875,Curva a Direita,13.0
1770323646.095077,Curva a Direita,13.5
